Name,Precision,Recall,F1,Accuracy
Logistic Regression,1.0,0.2,0.33333333333333337,0.6
SVM,0.5,0.2,0.28571428571428575,0.5
Multilayer Perceptron,0.3333333333333333,0.2,0.25,0.4
